"id","lon","lat","point","polygon","voltage","power_type","substation","osm_id","osm_www","frequency","name","ref","operator","dbahn","status","visible","otg_id"
"1","12.3374245625186","51.1969579483496","0101000020E6100000EEC489E9C2AC2840A06C05EB35994940","0101000020E6100000EEC489E9C2AC2840A06C05EB35994940","380000;110000","substation","transmission","r6334302","http://www.osm.org/relation/6334302","NA","Pulgar","NA","50 Hertz Transmission;Stadtwerke Leipzig","no","1","1",""
"24","12.0877650807999","53.2509323236273","0101000020E610000049886F8BEF2C28408ABEE58C1EA04A40","0103000020E61000000100000005000000EEC4DECD9F2C28402B09CBD313A04A4045E21DD8B32C2840D1E770DF2BA04A40A3C0D4493F2D28408F12854529A04A404CA3953F2B2D2840A61FC33A11A04A40EEC4DECD9F2C28402B09CBD313A04A40","380000","substation","transmission","w274603394","http://www.osm.org/way/274603394","50","Umspannwerk Putlitz","NA","50Hertz","no","2","1",""
"48","13.0585531706802","51.799742693382","0101000020E6100000204C62AEFA1D2A402EA5F4F75DE64940","0103000020E6100000010000000B0000002861FBF76F1C2A40BAE3500763E649405C1F65462A1D2A407607EAB26BE6494033004553031D2A4000FBB1B57FE6494017EBA9ABD11E2A404ABCC83995E6494022BC4C0F701F2A40B5DACDE143E64940987E3E98E61D2A404C66159231E64940F48B93CCB21D2A40CB7399282FE64940CF8DC2499E1D2A403903F3B139E649407F1E491DF61C2A40220283DE31E64940486FA9E2D21C2A40811C283A30E649402861FBF76F1C2A40BAE3500763E64940","380000","substation","NA","w398680313","http://www.osm.org/way/398680313","50","UW Jessen Nord","NA","50Hertz Transmission GmbH","no","2","1",""
"60","7.9163671493658","48.4855211831625","0101000020E6100000989E66265CAA1F405799E18E253E4840","0101000020E6100000989E66265CAA1F405799E18E253E4840","220000","substation","NA","n731515260","http://www.osm.org/node/731515260","NA","NA","NA","E-Werk Mittelbaden AG","no","4","1",""
"61","7.91263527818099","48.4857816751192","0101000020E610000051DAC3DC89A61F400FD10B182E3E4840","0101000020E610000051DAC3DC89A61F400FD10B182E3E4840","220000","substation","NA","n732546785","http://www.osm.org/node/732546785","NA","St.-Denis-Straße","NA","E-Werk Mittelbaden AG","no","4","1",""
"62","7.91868965370137","48.4884511791184","0101000020E6100000A44807FBBCAC1F40CD007891853E4840","0101000020E6100000A44807FBBCAC1F40CD007891853E4840","220000","substation","NA","n732546836","http://www.osm.org/node/732546836","NA","Römerstraße","NA","E-Werk Mittelbaden AG","no","4","1",""
"63","7.92234058667909","48.4809741177741","0101000020E6100000913DFE0C7AB01F40F407558F903D4840","0101000020E6100000913DFE0C7AB01F40F407558F903D4840","220000","substation","NA","n732546959","http://www.osm.org/node/732546959","NA","In der Spöck","NA","E-Werk Mittelbaden AG","no","4","1",""
"84","9.17731116537618","49.039378208374","0101000020E610000040037187C85A22401C925A580A854840","0103000020E6100000010000000C00000090B7099CA35A22400DE476260C85484005117591AA5A224028BE69730D8548402A52D0FEAE5A22407906D4470E85484045F2AEFAB75A2240E7A71AF50F854840E7B8016ECA5A224001145A4F0D8548402557A47EEE5A2240554FFD2008854840709CF868DD5A224045ACEDEF048548407291EF80CE5A2240C9BBC31307854840D36BF234CB5A2240BF752E7606854840F3D99104BC5A2240028BE2A408854840E8FB98C6B35A22405B6EB3D30985484090B7099CA35A22400DE476260C854840","380000","substation","transmission","w153328698","http://www.osm.org/way/153328698","NA","Gemeinschaftskraftwerk Neckarwestheim 2","NA","NA","no","2","1",""
"85","8.43556481531663","49.2523228063611","0101000020E61000007C25FA5902DF20408FAD1C1D4CA04840","0103000020E61000000100000007000000211D577DD3DE2040D9F00FAB51A04840F3346412F7DE2040255A566255A04840A1C39085FADE2040D7B80F8154A048403B4D33741ADF2040A6DD7F5D4CA04840CEDCBC3631DF204071940B9046A048405E1FAC9E0DDF2040F718C7D742A04840211D577DD3DE2040D9F00FAB51A04840","380000","substation","transmission","w154110132","http://www.osm.org/way/154110132","50","NA","NA","EnBW","no","2","1",""
"86","8.43380497235187","49.2540666882768","0101000020E6100000DB2F72AF1BDE20407393DA4185A04840","0103000020E61000000100000006000000C14ABC470EDE204059398FAB86A04840B5A9326819DE2040C9511DD687A048404A2EB34221DE2040792114D785A04840A1672C1729DE204001B288D883A048400E63B2F31DDE2040187F7CAD82A04840C14ABC470EDE204059398FAB86A04840","380000","substation","transmission","w154110133","http://www.osm.org/way/154110133","50","NA","NA","EnBW","no","2","1",""
"169","6.97724451929749","51.0114454307218","0101000020E6100000D74F8AC9B2E81B40CA513B0B77814940","0103000020E6100000010000000A000000DB3705685DE81B4028080FEE79814940F0DB8AB3FBE81B40B237B1357C8149409D43670603E91B4093251F11798149400C0786BC09E91B40EEACDF2F76814940429603B7C4E81B40E181BF3175814940DEBBF394CEE81B4011B699F270814940D81596359AE81B40298DA231708149403CF0A55790E81B400EBDD56F74814940B917F96A6BE81B40CDE53CE873814940DB3705685DE81B4028080FEE79814940","220000","substation","transmission","w116701004","http://www.osm.org/way/116701004","NA","Station Bayer X 36","NA","NA","no","2","1",""
"255","9.0503651364672","51.1673238624784","0101000020E61000006BF88B75C9192240AE974ADE6A954940","0103000020E61000000100000005000000953EEF5D2C19224058C41F8063954940D417C148021A2240FE9AE5FA82954940418C128E661A2240ADE9303D7295494002B340A390192240814962C152954940953EEF5D2C19224058C41F8063954940","380000","substation","NA","w278164454","http://www.osm.org/way/278164454","50","NA","NA","NA","no","2","1",""
"282","6.72890650430811","51.496080360235","0101000020E61000004861777766EA1A40D3B2AD8F7FBF4940","0103000020E6100000010000000700000008899D07F4E91A40FDCBB0D57EBF4940B71CC54423EA1A409069EA7386BF4940D672F8E3A1EA1A40D03E3F2882BF49404D3538FED6EA1A40BF7B8C5B80BF4940B03CA65EACEA1A4075C4DBA578BF4940F2D694B141EA1A408E41193A7CBF494008899D07F4E91A40FDCBB0D57EBF4940","220000","substation","industrial","w35833442","http://www.osm.org/way/35833442","50","NA","NA","NA","no","2","1",""
"313","7.17590444471101","51.4755782652409","0101000020E6100000F704754B20B41C40F2F2A3BFDFBC4940","0103000020E610000001000000060000007FA1BBDF82B31C4042370472E4BC49401598CCD46CB41C406E458871EBBC4940E329ABB8BDB41C40D86C0B0DDBBC494009FD5D8154B41C40140FA1E7D7BC494011E892BDD3B31C40E47EFA0DD4BC49407FA1BBDF82B31C4042370472E4BC4940","220000","substation","industrial","w86163350","http://www.osm.org/way/86163350","NA","UW Stahlwerk ThyssenKrupp Nirosta","NA","NA","no","2","1",""
